ghostnet_layer,mobilenetv2,mobilenetv3,shufflenetv2,resnet18
blocks.4.0.se,layers.9.layers.1.0,features.bottleneck_6.se,features.9.branch_main.6,
blocks.4.0.se.avg_pool,layers.9.layers.1.1,features.bottleneck_6.se.avg_pool,features.9.branch_main.7,
blocks.4.0.se.conv_reduce,layers.9.layers.1.2,features.bottleneck_6.se.fc,features.10,
blocks.4.0.se.act1,layers.9.layers.2,features.bottleneck_6.se.fc.0,features.10.branch_main,
blocks.4.0.se.conv_expand,layers.9.layers.2.0,features.bottleneck_6.se.fc.1,features.10.branch_main.0,
blocks.4.0.ghost2,layers.9.layers.2.1,features.bottleneck_6.se.fc.2,features.10.branch_main.1,
blocks.4.0.ghost2.primary_conv,layers.10,features.bottleneck_6.se.fc.3,features.10.branch_main.2,
blocks.4.0.ghost2.primary_conv.0,layers.10.layers,features.bottleneck_6.conv3,features.10.branch_main.3,
blocks.4.0.ghost2.primary_conv.1,layers.10.layers.0,features.bottleneck_6.conv3.0,features.10.branch_main.4,
blocks.4.0.ghost2.primary_conv.2,layers.10.layers.0.0,features.bottleneck_6.conv3.1,features.10.branch_main.5,
blocks.4.0.ghost2.cheap_operation,layers.10.layers.0.1,features.bottleneck_7,features.10.branch_main.6,
blocks.4.0.ghost2.cheap_operation.0,layers.10.layers.1,features.bottleneck_7.conv1,features.10.branch_main.7,
blocks.4.0.ghost2.cheap_operation.1,layers.10.layers.1.0,features.bottleneck_7.conv1.0,features.11,
blocks.4.0.ghost2.cheap_operation.2,layers.10.layers.1.1,features.bottleneck_7.conv1.1,features.11.branch_main,
blocks.4.0.shortcut,layers.10.layers.1.2,features.bottleneck_7.conv1.2,features.11.branch_main.0,
blocks.5,layers.10.layers.2,features.bottleneck_7.conv2,features.11.branch_main.1,
blocks.5.0,layers.10.layers.2.0,features.bottleneck_7.conv2.0,features.11.branch_main.2,
blocks.5.0.ghost1,layers.10.layers.2.1,features.bottleneck_7.conv2.1,features.11.branch_main.3,
blocks.5.0.ghost1.primary_conv,layers.11,features.bottleneck_7.conv2.2,features.11.branch_main.4,
blocks.5.0.ghost1.primary_conv.0,layers.11.layers,features.bottleneck_7.se,features.11.branch_main.5,
blocks.5.0.ghost1.primary_conv.1,layers.11.layers.0,features.bottleneck_7.se.avg_pool,features.11.branch_main.6,
blocks.5.0.ghost1.primary_conv.2,layers.11.layers.0.0,features.bottleneck_7.se.fc,features.11.branch_main.7,
blocks.5.0.ghost1.cheap_operation,layers.11.layers.0.1,features.bottleneck_7.se.fc.0,features.12,
blocks.5.0.ghost1.cheap_operation.0,layers.11.layers.1,features.bottleneck_7.se.fc.1,features.12.branch_main,
blocks.5.0.ghost1.cheap_operation.1,layers.11.layers.1.0,features.bottleneck_7.se.fc.2,features.12.branch_main.0,
blocks.5.0.ghost1.cheap_operation.2,layers.11.layers.1.1,features.bottleneck_7.se.fc.3,features.12.branch_main.1,
blocks.5.0.conv_dw,layers.11.layers.1.2,features.bottleneck_7.conv3,features.12.branch_main.2,
blocks.5.0.bn_dw,layers.11.layers.2,features.bottleneck_7.conv3.0,features.12.branch_main.3,
blocks.5.0.ghost2,layers.11.layers.2.0,features.bottleneck_7.conv3.1,features.12.branch_main.4,
blocks.5.0.ghost2.primary_conv,layers.11.layers.2.1,features.bottleneck_8,features.12.branch_main.5,
blocks.5.0.ghost2.primary_conv.0,layers.12,features.bottleneck_8.conv1,features.12.branch_main.6,
blocks.5.0.ghost2.primary_conv.1,layers.12.layers,features.bottleneck_8.conv1.0,features.12.branch_main.7,
blocks.5.0.ghost2.primary_conv.2,layers.12.layers.0,features.bottleneck_8.conv1.1,features.12.branch_proj,
blocks.5.0.ghost2.cheap_operation,layers.12.layers.0.0,features.bottleneck_8.conv1.2,features.12.branch_proj.0,
blocks.5.0.ghost2.cheap_operation.0,layers.12.layers.0.1,features.bottleneck_8.conv2,features.12.branch_proj.1,
blocks.5.0.ghost2.cheap_operation.1,layers.12.layers.1,features.bottleneck_8.conv2.0,features.12.branch_proj.2,
blocks.5.0.ghost2.cheap_operation.2,layers.12.layers.1.0,features.bottleneck_8.conv2.1,features.12.branch_proj.3,
blocks.5.0.shortcut,layers.12.layers.1.1,features.bottleneck_8.conv2.2,features.12.branch_proj.4,
blocks.5.0.shortcut.0,layers.12.layers.1.2,features.bottleneck_8.se,features.13,
blocks.5.0.shortcut.1,layers.12.layers.2,features.bottleneck_8.se.avg_pool,features.13.branch_main,
blocks.5.0.shortcut.2,layers.12.layers.2.0,features.bottleneck_8.se.fc,features.13.branch_main.0,
blocks.5.0.shortcut.3,layers.12.layers.2.1,features.bottleneck_8.se.fc.0,features.13.branch_main.1,
blocks.6,layers.13,features.bottleneck_8.se.fc.1,features.13.branch_main.2,
blocks.6.0,layers.13.layers,features.bottleneck_8.se.fc.2,features.13.branch_main.3,
blocks.6.0.ghost1,layers.13.layers.0,features.bottleneck_8.se.fc.3,features.13.branch_main.4,
blocks.6.0.ghost1.primary_conv,layers.13.layers.0.0,features.bottleneck_8.conv3,features.13.branch_main.5,
